n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda,avg_logloss,avg_accuracy,prediction,up_prob,down_prob
100,5,0.03,0.8,1.0,0.0,1.0,0.6785095529688803,0.573319769455301,UP,0.5435572862625122,0.4564427137374878
300,5,0.03,0.8,1.0,0.0,1.0,0.6785095529688803,0.573319769455301,UP,0.5435572862625122,0.4564427137374878
200,5,0.03,0.8,1.0,0.0,1.0,0.6785095529688803,0.573319769455301,UP,0.5435572862625122,0.4564427137374878
300,5,0.01,0.8,1.0,0.0,3.0,0.6785361387615113,0.5806171038642538,UP,0.5689206123352051,0.4310793876647949
200,5,0.01,0.8,1.0,0.0,3.0,0.6785361387615113,0.5806171038642538,UP,0.5689206123352051,0.4310793876647949
100,7,0.03,0.6,1.0,0.5,3.0,0.6785891217573718,0.5785319931168431,UP,0.6353134512901306,0.3646865487098694
200,7,0.03,0.6,1.0,0.5,3.0,0.6785891217573718,0.5785319931168431,UP,0.6353134512901306,0.3646865487098694
300,7,0.03,0.6,1.0,0.5,3.0,0.6785891217573718,0.5785319931168431,UP,0.6353134512901306,0.3646865487098694
200,5,0.05,0.6,0.7,0.5,1.0,0.6786077130299627,0.5811056255975897,UP,0.6006495356559753,0.39935046434402466
300,5,0.05,0.6,0.7,0.5,1.0,0.6786077130299627,0.5811056255975897,UP,0.6006495356559753,0.39935046434402466
100,5,0.05,0.6,0.7,0.5,1.0,0.6786077130299627,0.5811056255975897,UP,0.6006495356559753,0.39935046434402466
300,5,0.03,0.6,0.7,0.5,3.0,0.6786106855105871,0.5648692067239006,UP,0.7058777809143066,0.29412221908569336
200,5,0.03,0.6,0.7,0.5,3.0,0.6786106855105871,0.5648692067239006,UP,0.7058777809143066,0.29412221908569336
100,5,0.03,0.6,0.7,0.5,3.0,0.6786106855105871,0.5648692067239006,UP,0.7058777809143066,0.29412221908569336
300,5,0.05,0.6,1.0,0.5,3.0,0.678652233086646,0.5910198183562745,UP,0.6220346689224243,0.3779653310775757
200,5,0.05,0.6,1.0,0.5,3.0,0.678652233086646,0.5910198183562745,UP,0.6220346689224243,0.3779653310775757
100,5,0.05,0.6,1.0,0.5,3.0,0.678652233086646,0.5910198183562745,UP,0.6220346689224243,0.3779653310775757
100,3,0.03,0.8,1.0,0.5,3.0,0.6786693742748264,0.5856303160456782,UP,0.5808868408203125,0.4191131591796875
300,3,0.03,0.8,1.0,0.5,3.0,0.6786693742748264,0.5856303160456782,UP,0.5808868408203125,0.4191131591796875
200,3,0.03,0.8,1.0,0.5,3.0,0.6786693742748264,0.5856303160456782,UP,0.5808868408203125,0.4191131591796875
100,7,0.01,0.8,1.0,0.5,1.0,0.6787264880775359,0.5875876591174737,UP,0.568112313747406,0.431887686252594
300,7,0.01,0.8,1.0,0.5,1.0,0.6787264880775359,0.5875876591174737,UP,0.568112313747406,0.431887686252594
200,7,0.01,0.8,1.0,0.5,1.0,0.6787264880775359,0.5875876591174737,UP,0.568112313747406,0.431887686252594
100,5,0.01,0.8,1.0,0.0,3.0,0.6787310641600909,0.5796008437016522,UP,0.5689206123352051,0.4310793876647949
100,3,0.03,0.6,0.7,0.5,1.0,0.6787412613791676,0.5824404193973637,UP,0.6223715543746948,0.3776284456253052
200,3,0.03,0.6,0.7,0.5,1.0,0.6787412613791676,0.5824404193973637,UP,0.6223715543746948,0.3776284456253052
300,3,0.03,0.6,0.7,0.5,1.0,0.6787412613791676,0.5824404193973637,UP,0.6223715543746948,0.3776284456253052
200,3,0.03,0.6,1.0,0.0,1.0,0.678741794629631,0.5676706216548857,UP,0.6117550730705261,0.3882449269294739
300,3,0.03,0.6,1.0,0.0,1.0,0.678741794629631,0.5676706216548857,UP,0.6117550730705261,0.3882449269294739
100,3,0.03,0.6,1.0,0.0,1.0,0.678741794629631,0.5676706216548857,UP,0.6117550730705261,0.3882449269294739
300,7,0.05,0.6,0.7,0.0,1.0,0.6787801494161362,0.5785351230483783,UP,0.623971700668335,0.37602829933166504
100,7,0.05,0.6,0.7,0.0,1.0,0.6787801494161362,0.5785351230483783,UP,0.623971700668335,0.37602829933166504
200,7,0.05,0.6,0.7,0.0,1.0,0.6787801494161362,0.5785351230483783,UP,0.623971700668335,0.37602829933166504
300,3,0.03,0.6,0.7,0.0,1.0,0.6787811341750072,0.5689517564805568,UP,0.6200206875801086,0.37997931241989136
200,3,0.03,0.6,0.7,0.0,1.0,0.6787811341750072,0.5689517564805568,UP,0.6200206875801086,0.37997931241989136
100,3,0.03,0.6,0.7,0.0,1.0,0.6787811341750072,0.5689517564805568,UP,0.6200206875801086,0.37997931241989136
100,3,0.03,0.8,1.0,0.5,1.0,0.6788974949469263,0.5786597607924583,UP,0.5802124738693237,0.41978752613067627
300,3,0.03,0.8,1.0,0.5,1.0,0.6788974949469263,0.5786597607924583,UP,0.5802124738693237,0.41978752613067627
200,3,0.03,0.8,1.0,0.5,1.0,0.6788974949469263,0.5786597607924583,UP,0.5802124738693237,0.41978752613067627
300,7,0.01,0.6,1.0,0.5,3.0,0.6789116555002062,0.5628623779200493,UP,0.6175995469093323,0.3824004530906677
200,7,0.01,0.6,1.0,0.5,3.0,0.6789116555002062,0.5628623779200493,UP,0.6175995469093323,0.3824004530906677
100,3,0.05,0.6,0.7,0.0,3.0,0.6789181708303169,0.5721251873331334,UP,0.6818000674247742,0.31819993257522583
300,3,0.05,0.6,0.7,0.0,3.0,0.6789181708303169,0.5721251873331334,UP,0.6818000674247742,0.31819993257522583
200,3,0.05,0.6,0.7,0.0,3.0,0.6789181708303169,0.5721251873331334,UP,0.6818000674247742,0.31819993257522583
300,7,0.05,0.6,1.0,0.5,3.0,0.6790040247216074,0.5733640386347979,UP,0.5861637592315674,0.4138362407684326
200,7,0.05,0.6,1.0,0.5,3.0,0.6790040247216074,0.5733640386347979,UP,0.5861637592315674,0.4138362407684326
100,7,0.05,0.6,1.0,0.5,3.0,0.6790040247216074,0.5733640386347979,UP,0.5861637592315674,0.4138362407684326
200,7,0.05,0.6,0.7,0.0,3.0,0.6790238174877512,0.5802316132508513,UP,0.7022570967674255,0.29774290323257446
100,7,0.05,0.6,0.7,0.0,3.0,0.6790238174877512,0.5802316132508513,UP,0.7022570967674255,0.29774290323257446
300,7,0.05,0.6,0.7,0.0,3.0,0.6790238174877512,0.5802316132508513,UP,0.7022570967674255,0.29774290323257446
200,5,0.01,0.6,1.0,0.0,3.0,0.6790299364742488,0.5696783549416402,UP,0.6070995926856995,0.39290040731430054
300,5,0.01,0.6,1.0,0.0,3.0,0.6790299364742488,0.5696783549416402,UP,0.6070995926856995,0.39290040731430054
100,5,0.01,0.6,1.0,0.0,3.0,0.6790299364742488,0.5696783549416402,UP,0.6070995926856995,0.39290040731430054
300,7,0.05,1.0,0.7,0.5,1.0,0.679056953493389,0.5748059863137854,DOWN,0.47025683522224426,0.5297431945800781
100,7,0.05,1.0,0.7,0.5,1.0,0.679056953493389,0.5748059863137854,DOWN,0.47025683522224426,0.5297431945800781
200,7,0.05,1.0,0.7,0.5,1.0,0.679056953493389,0.5748059863137854,DOWN,0.47025683522224426,0.5297431945800781
300,7,0.03,0.6,0.7,0.0,1.0,0.6790657538822032,0.576589180668062,UP,0.6182407140731812,0.38175928592681885
200,7,0.03,0.6,0.7,0.0,1.0,0.6790657538822032,0.576589180668062,UP,0.6182407140731812,0.38175928592681885
100,7,0.03,0.6,0.7,0.0,1.0,0.6790657538822032,0.576589180668062,UP,0.6182407140731812,0.38175928592681885
100,7,0.01,0.6,1.0,0.5,3.0,0.6790827089441116,0.5676458093750536,UP,0.6197142601013184,0.38028573989868164
