n_estimators,max_depth,learning_rate,subsample,avg_logloss,avg_accuracy,prediction,up_prob,down_prob
50,9,0.1,0.5,0.7988048737609689,0.5437768322916495,UP,0.7022901177406311,0.2977098822593689
50,5,0.05,1.0,0.7989005516853206,0.5140462408680883,UP,0.6493078470230103,0.35069215297698975
250,3,0.03,0.8,0.8018245304465119,0.5473526388407901,UP,0.8067256808280945,0.19327431917190552
250,5,0.03,0.5,0.8021700275314565,0.542102992023835,UP,0.6401919722557068,0.3598080277442932
200,7,0.01,1.0,0.8036280947881332,0.5133728568523007,UP,0.6138877272605896,0.3861122727394104
300,5,0.01,1.0,0.8042572766626551,0.5399728997289973,UP,0.642735481262207,0.35726451873779297
300,9,0.01,0.8,0.8044367987572679,0.5249880439980871,UP,0.6639785170555115,0.3360214829444885
150,5,0.03,0.8,0.8056299451340453,0.53481807637549,UP,0.7105721235275269,0.28942787647247314
100,5,0.03,1.0,0.8082351031831418,0.526833665902582,UP,0.6660952568054199,0.3339047431945801
100,9,0.03,0.8,0.8085182947552144,0.5140407438557144,UP,0.6731553077697754,0.3268446922302246
300,3,0.03,0.5,0.8092837889258719,0.5565725028447038,UP,0.7791343331336975,0.2208656668663025
200,9,0.03,0.5,0.809686431727937,0.5289046653144016,UP,0.7286860942840576,0.2713139057159424
250,3,0.03,1.0,0.8104230639869782,0.5415711560766723,UP,0.795991837978363,0.20400816202163696
100,5,0.05,0.5,0.8116000287449495,0.5030398478426975,UP,0.7404377460479736,0.25956225395202637
150,3,0.05,0.8,0.8128514737432987,0.5377603522485529,UP,0.793783962726593,0.20621603727340698
200,3,0.05,0.5,0.8134654524035857,0.5503746213932729,UP,0.8127235174179077,0.18727648258209229
150,3,0.05,1.0,0.8163782984903768,0.5378785380145891,UP,0.80214524269104,0.19785475730895996
300,3,0.03,0.8,0.8181209695428774,0.5511304605946669,UP,0.8192228674888611,0.18077713251113892
250,7,0.03,0.5,0.818175993552326,0.5316627912729431,UP,0.794002890586853,0.20599710941314697
100,9,0.05,0.5,0.8185602805994873,0.5211401353364447,UP,0.5591643452644348,0.4408356547355652
300,5,0.03,0.5,0.819134795859727,0.5541098413012527,UP,0.7082504034042358,0.29174959659576416
200,9,0.01,1.0,0.8198202726367158,0.49799908749594596,UP,0.5846437811851501,0.41535621881484985
150,7,0.03,0.8,0.8240869322515024,0.540040238130576,UP,0.842004656791687,0.157995343208313
50,5,0.1,0.5,0.8251503232201505,0.5138497226757258,UP,0.8840001225471497,0.11599987745285034
200,5,0.03,0.8,0.8261140862444213,0.5425990973905682,UP,0.7856165766716003,0.21438342332839966
150,7,0.05,0.5,0.8276904863625019,0.5292935789398462,UP,0.815113365650177,0.184886634349823
250,7,0.01,1.0,0.8277346028150775,0.5183201679886982,UP,0.6585670113563538,0.34143298864364624
300,3,0.03,1.0,0.8281626930443555,0.536379227889642,UP,0.8327428102493286,0.1672571897506714
250,9,0.03,0.5,0.8289891780363993,0.5297470824606826,UP,0.7410380840301514,0.25896191596984863
50,7,0.1,0.5,0.8323728726110465,0.5121429003336687,UP,0.7294759154319763,0.2705240845680237
250,3,0.05,0.5,0.8346323096618641,0.5566769460798056,UP,0.8145599365234375,0.1854400634765625
100,5,0.05,0.8,0.8360385982289292,0.5038918847606326,UP,0.7688825130462646,0.23111748695373535
50,5,0.1,0.8,0.8371261638126765,0.5197122863723567,UP,0.8174232840538025,0.1825767159461975
200,3,0.05,1.0,0.8396410675120535,0.5378304391563186,UP,0.8400053977966309,0.15999460220336914
300,7,0.03,0.5,0.8406295658183468,0.5323389237949175,UP,0.8148598074913025,0.1851401925086975
150,9,0.05,0.5,0.8411149033133619,0.525526751210717,UP,0.6648679375648499,0.33513206243515015
200,3,0.05,0.8,0.841905788666061,0.530030178597932,UP,0.8137903809547424,0.18620961904525757
300,9,0.03,0.5,0.8432201243193003,0.5355642958052299,UP,0.7432100772857666,0.2567899227142334
150,5,0.03,1.0,0.845378544957856,0.5125029546441509,UP,0.7347362637519836,0.26526373624801636
150,9,0.03,0.8,0.8457195911789069,0.5132519225800777,UP,0.7372838854789734,0.2627161145210266
100,7,0.03,1.0,0.8458256775064946,0.5287631172457768,UP,0.7939117550849915,0.20608824491500854
150,5,0.05,0.5,0.8478470514281105,0.5097874305315061,UP,0.7901726365089417,0.20982736349105835
50,9,0.05,1.0,0.8484539940338482,0.5168881962653299,UP,0.6869561672210693,0.31304383277893066
100,3,0.1,0.5,0.8509244909303547,0.5282312812986142,UP,0.7777705192565918,0.2222294807434082
250,5,0.03,0.8,0.8511899796340048,0.5290008630309427,UP,0.8309847116470337,0.1690152883529663
100,3,0.1,0.8,0.8516080415450197,0.5227699995052689,UP,0.6679350137710571,0.33206498622894287
50,3,0.2,0.8,0.851770915831591,0.5535010471808571,UP,0.8257011771202087,0.17429882287979126
50,7,0.05,1.0,0.8520639506504719,0.506507088397456,UP,0.6892946362495422,0.31070536375045776
200,7,0.03,0.8,0.8525803310377708,0.5347328726836964,UP,0.8691480159759521,0.13085198402404785
300,7,0.01,1.0,0.8535919938630481,0.5215263004557023,UP,0.7120824456214905,0.2879175543785095
250,9,0.01,1.0,0.8538914318619409,0.4897563174414706,UP,0.5976755619049072,0.4023244380950928
200,7,0.05,0.5,0.8562166006299362,0.534158434890637,UP,0.8661315441131592,0.13386845588684082
100,3,0.1,1.0,0.8564069522606729,0.5288661862277851,UP,0.8873556852340698,0.11264431476593018
100,9,0.05,0.8,0.858027388526232,0.5247406784412671,UP,0.730475664138794,0.26952433586120605
50,7,0.1,0.8,0.8596479850310391,0.5229830087347527,UP,0.7949959635734558,0.2050040364265442
200,9,0.05,0.5,0.8602965798653884,0.5396348334680101,UP,0.722589373588562,0.277410626411438
100,9,0.03,1.0,0.8608610286134194,0.522122726298257,UP,0.6172296404838562,0.3827703595161438
100,5,0.05,1.0,0.8620993207069582,0.5121002984877719,UP,0.7900335192680359,0.2099664807319641
250,3,0.05,0.8,0.8628608690478018,0.5267512107169753,UP,0.8317247629165649,0.16827523708343506
300,3,0.05,0.5,0.8642911330843894,0.5505381575113925,UP,0.8705440163612366,0.12945598363876343
100,7,0.05,0.8,0.865176580908228,0.5138043723236421,UP,0.7557002305984497,0.2442997694015503
200,5,0.05,0.5,0.8664601174894654,0.508483264345828,UP,0.8418061137199402,0.15819388628005981
300,5,0.03,0.8,0.8678619371394626,0.5337392876971366,UP,0.8425936698913574,0.15740633010864258
250,3,0.05,1.0,0.8684027502607341,0.5255391194885579,UP,0.7942663431167603,0.20573365688323975
300,9,0.01,1.0,0.8685946640485304,0.49617957640022653,UP,0.632117509841919,0.36788249015808105
100,9,0.1,0.5,0.870239904580151,0.532606903148139,UP,0.7865726947784424,0.21342730522155762
100,5,0.1,0.5,0.8734527850728863,0.5329051160694163,UP,0.9209580421447754,0.07904195785522461
250,7,0.03,0.8,0.8745860550466631,0.5331414876014885,UP,0.8916245698928833,0.1083754301071167
50,5,0.1,1.0,0.8749074812743647,0.5129427156340529,UP,0.7787937521934509,0.22120624780654907
150,5,0.05,0.8,0.8775170113687203,0.5090893099600368,UP,0.804614782333374,0.19538521766662598
250,7,0.05,0.5,0.879737139620487,0.5390631441811377,UP,0.8836564421653748,0.11634355783462524
200,5,0.03,1.0,0.8820574654158903,0.503809429575026,UP,0.7943075895309448,0.20569241046905518
250,9,0.05,0.5,0.8834179833200615,0.5451002380206358,UP,0.7566350102424622,0.24336498975753784
300,3,0.05,0.8,0.8842449239852194,0.5352811996679804,UP,0.8693946599960327,0.13060534000396729
200,9,0.03,0.8,0.8869637671524004,0.5109390546238121,UP,0.8046126365661621,0.1953873634338379
50,9,0.1,0.8,0.8897471039252691,0.5118749209804471,UP,0.6532384157180786,0.3467615842819214
250,5,0.05,0.5,0.8916991229532228,0.5225858495907474,UP,0.846711277961731,0.15328872203826904
300,7,0.05,0.5,0.8940414763280614,0.5403027204714238,UP,0.887848436832428,0.11215156316757202
50,3,0.2,1.0,0.894341546724962,0.5169610316792823,UP,0.7891892790794373,0.21081072092056274
300,7,0.03,0.8,0.8955219537492108,0.5303833616429471,UP,0.8953044414520264,0.10469555854797363
150,3,0.1,0.5,0.8962164291553673,0.5392527911080328,UP,0.7933723330497742,0.20662766695022583
150,9,0.1,0.5,0.8989944943968302,0.5427117861442307,UP,0.7951292395591736,0.20487076044082642
50,3,0.2,0.5,0.8990511600938591,0.5310485001401738,UP,0.9336217045783997,0.06637829542160034
300,3,0.05,1.0,0.9006929551685251,0.5383375385477992,UP,0.7980803847312927,0.20191961526870728
150,5,0.05,1.0,0.9018492315001465,0.518700836095582,UP,0.8498094081878662,0.1501905918121338
150,7,0.03,1.0,0.9030078683885624,0.5262221232759995,UP,0.8721592426300049,0.12784075736999512
150,9,0.03,1.0,0.903559498684468,0.5159138508220781,UP,0.7316184639930725,0.2683815360069275
150,9,0.05,0.8,0.9038095700365277,0.5246898310768097,UP,0.7609082460403442,0.23909175395965576
300,9,0.05,0.5,0.904978477106769,0.5412042305007229,UP,0.7813178300857544,0.2186821699142456
200,5,0.05,0.8,0.9081741101256519,0.506897376275994,UP,0.8434209823608398,0.15657901763916016
250,5,0.03,1.0,0.9094850406968199,0.5054489135155044,UP,0.833446741104126,0.16655325889587402
100,9,0.05,1.0,0.9097279261357903,0.5195418789887696,UP,0.8422212600708008,0.15777873992919922
150,3,0.1,0.8,0.9104961131788384,0.5252092987461315,UP,0.7990702986717224,0.2009297013282776
100,7,0.1,0.5,0.9130455243852497,0.5162958931820555,UP,0.8722367882728577,0.12776321172714233
150,7,0.05,0.8,0.9138429248086272,0.5192725253824545,UP,0.8086315393447876,0.1913684606552124
250,9,0.03,0.8,0.9140707044844651,0.5177594727265732,UP,0.8174526691436768,0.18254733085632324
50,5,0.2,0.5,0.9201613898219039,0.5204488860304425,DOWN,0.4898090064525604,0.5101909637451172
300,5,0.05,0.5,0.9234187450527354,0.5170022592720857,UP,0.8956066966056824,0.10439330339431763
